8.1280764,2.9410949,-8.4111276,-0.5395203,0.2239364,2.0000000,0.0000000
8.3263221,3.0391238,-8.2389875,-0.4959948,0.2180544,2.0000000,0.0000000
8.5245679,3.1297785,-8.0624369,-0.4527369,0.2185667,2.0000000,0.0000000
8.7228137,3.2125900,-7.8823140,-0.4089651,0.2234803,2.0000000,0.0000000
8.9210594,3.2874068,-7.6985039,-0.3638866,0.2313237,2.0000000,0.0000000
9.1193052,3.3536468,-7.5116004,-0.3169348,0.2422141,2.0000000,0.0000000
9.3175510,3.4108122,-7.3217955,-0.2677096,0.2553332,2.0000000,0.0000000
9.5157967,3.4584166,-7.1287789,-0.2153834,0.2715240,2.0000000,0.0000000
9.7140425,3.4954309,-6.9339880,-0.1594856,0.2921645,2.0000000,0.0000000
9.9122882,3.5209942,-6.7382756,-0.0994262,0.3180868,2.0000000,0.0000000
10.1105340,3.5343258,-6.5394049,-0.0335875,0.3442145,2.0000000,0.0000000
10.3087798,3.5339888,-6.3406483,0.0379809,0.3752661,2.0000000,0.0000000
10.5070255,3.5188907,-6.1431769,0.1155866,0.4018357,2.0000000,0.0000000
10.7052713,3.4882729,-5.9480052,0.1961433,0.4231329,2.0000000,0.0000000
10.9035171,3.4412672,-5.7561669,0.2867879,0.4897032,2.0000000,0.0000000
11.1017628,3.3762913,-5.5692389,0.3811083,0.4542284,2.0000000,0.0000000
11.3000086,3.2937911,-5.3891693,0.4806384,0.5294184,2.0000000,0.0000000
11.4982544,3.1928071,-5.2198669,0.5993463,0.6519513,2.0000000,0.0000000
11.6965001,3.0714171,-5.0651572,0.7334641,0.7140163,2.0000000,0.0000000
11.8947459,2.9286096,-4.9279988,0.8785782,0.7459675,1.9819524,-0.1812515
12.0929917,2.7659764,-4.8127855,1.0313429,0.7697935,1.9741198,-0.0781514
12.2912374,2.5879794,-4.7238995,1.1840044,0.7705189,1.9731904,-0.0092529
12.4894832,2.4003174,-4.6633585,1.3317003,0.7237623,1.9653303,-0.0780778
12.6877290,2.2046511,-4.6300981,1.4716859,0.6775105,1.9939100,0.2853880
12.8859747,2.0060158,-4.6234074,1.6008241,0.6249439,2.0000000,0.0613456
13.0842205,1.8093301,-4.6411255,1.7183778,0.5645178,2.0000000,0.0000000
13.2824662,1.6147223,-4.6809723,1.8254804,0.5132111,2.0000000,0.0000000
13.4807120,1.4255850,-4.7402953,1.9224502,0.4670192,2.0000000,0.0000000
13.6789578,1.2427398,-4.8168240,2.0099825,0.4109784,2.0000000,0.0000000
13.8772035,1.0664312,-4.9081842,2.0859716,0.3572118,1.9496646,-0.5014175
14.0754493,0.8973925,-5.0117352,2.1539478,0.3293553,1.8486731,-0.9674861
14.2736951,0.7353378,-5.1262136,2.2168326,0.3031871,1.7386664,-0.9953086
14.4719408,0.5806595,-5.2500606,2.2741638,0.2759431,1.6190769,-1.0127599
14.6701866,0.4326951,-5.3824751,2.3266987,0.2538178,1.4885481,-1.0230596
14.8684324,0.2920269,-5.5217257,2.3748983,0.2345566,1.3449486,-1.0262229
15.0666781,0.1576912,-5.6677204,2.4202060,0.2219391,1.1846433,-1.0227386
15.2649239,0.0301727,-5.8192002,2.4634805,0.2195196,1.0000000,-1.0173727
15.4631697,-0.0906968,-5.9761413,2.5071972,0.2209800,0.0000000,0.0000000
