# x_m,y_m,w_tr_right_m,w_tr_left_m
0.7000,1.7000,1.0308,1.0308
0.6500,1.6500,1.0259,1.0259
0.6000,1.6000,1.0259,1.0259
0.5500,1.5500,1.0259,1.0259
0.5000,1.5000,1.0259,1.0259
0.4500,1.4500,1.0259,1.0259
0.4000,1.4000,1.0259,1.0259
0.3500,1.3500,1.0259,1.0259
0.3000,1.3000,1.0062,1.0062
0.2500,1.2500,0.9823,0.9823
0.2500,1.2000,0.9962,0.9962
0.2000,1.1500,0.9618,0.9618
0.1500,1.1000,0.9220,0.9220
0.1500,1.0500,0.9341,0.9341
0.1500,1.0000,0.9487,0.9487
0.1000,0.9500,0.9055,0.9055
0.1000,0.9000,0.9124,0.9124
0.0500,0.8500,0.8732,0.8732
0.0500,0.8000,0.8860,0.8860
0.0500,0.7500,0.9014,0.9014
0.0500,0.7000,0.9192,0.9192
0.0500,0.6500,0.9192,0.9192
0.0500,0.6000,0.9014,0.9014
0.0500,0.5500,0.8860,0.8860
0.0000,0.5000,0.9192,0.9192
0.0000,0.4500,0.9014,0.9014
0.0000,0.4000,0.8860,0.8860
0.0000,0.3500,0.8732,0.8732
0.0000,0.3000,0.8631,0.8631
0.0000,0.2500,0.8559,0.8559
0.0000,0.2000,0.8515,0.8515
0.0000,0.1500,0.8500,0.8500
0.0000,0.1000,0.8500,0.8500
0.0000,0.0500,0.8500,0.8500
