# x_m,y_m,w_tr_right_m,w_tr_left_m
0.5800,4.1000,1.0440,1.0440
0.5300,4.1000,1.0500,1.0500
0.4800,4.1000,1.0512,1.0512
0.4300,4.1000,1.0548,1.0548
0.3800,4.1000,1.0607,1.0607
0.3300,4.1000,1.0689,1.0689
0.2800,4.1000,1.0794,1.0794
0.2300,4.1000,1.0920,1.0920
0.1800,4.1000,1.0920,1.0920
0.1300,4.0500,1.0689,1.0689
0.0800,4.0500,1.0794,1.0794
0.0300,4.0500,1.0920,1.0920
-0.0200,4.0500,1.1045,1.1045
-0.0700,4.0000,1.0770,1.0770
-0.1200,4.0000,1.0920,1.0920
